t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
1480.0720,26.50,4.68,22.61,46,2049,-2211,11600
1480.1431,3.60,-70.59,-5.67,-5,1856,162,7992
1480.2049,-13.84,-68.25,-34.50,-12,1862,369,6360
1480.2763,-49.15,-35.49,-80.34,-43,1946,1771,7551
1480.3384,-48.74,17.55,-59.47,-43,2082,639,6627
1480.4095,-24.79,54.60,-22.79,-12,2177,958,6260
1480.4717,-8.71,63.96,7.69,-12,2201,695,7077
1480.5429,34.47,66.30,62.43,18,2207,-440,6574
1480.6050,42.74,10.53,65.72,35,2064,-1886,6272
1480.6764,43.19,-28.86,55.33,37,1963,-2018,7352
1480.7384,20.79,-69.81,20.79,23,1858,-1222,6362
1480.8095,-23.29,-74.10,-43.49,-19,1847,894,6580
1480.8717,-27.80,-46.02,-39.99,-20,1919,795,7236
1480.9428,-61.30,-10.14,-88.62,-47,2011,2132,6445
1481.0049,-43.04,35.10,-38.23,-46,2127,1954,7441
1481.0765,-15.72,65.13,-4.67,-3,2204,528,6988
1481.1384,8.99,65.13,34.47,-3,2204,528,6477
1481.2100,47.89,33.54,81.89,45,2123,-1458,6451
1481.2718,43.24,-30.42,54.34,40,1959,-2689,7171
1481.3432,26.07,-60.06,27.76,16,1883,-1223,6177
1481.4050,14.01,-74.49,1.90,10,1846,-586,6241
1481.4764,-30.41,-70.59,-62.48,-17,1856,266,7045
1481.5385,-40.29,-44.46,-58.94,-41,1923,1358,6341
1481.6099,-45.10,23.01,-60.66,-37,2096,1366,6218
1481.6718,-23.14,63.18,-14.36,-19,2199,1130,7456
1481.7429,5.70,66.69,23.85,10,2208,-255,6685
1481.8050,29.89,46.02,55.47,28,2155,-986,6485
1481.8764,65.59,14.04,78.45,34,2073,-1777,7082
1481.9384,69.48,-44.85,65.17,52,1922,-2303,6667
1482.0099,14.16,-69.42,-13.50,2,1859,-634,6483
1482.0718,14.03,-63.18,-2.04,1,1875,-121,7375
1482.1431,-31.43,-60.84,-31.43,-7,1881,231,6677
1482.2050,-125.71,-60.84,-175.77,-7,1881,231,6580
1482.2763,-69.07,-60.84,-44.88,-7,1881,231,7556
1482.3384,8.90,64.35,46.22,35,2202,-1373,6813
1482.4099,-20.93,45.63,-8.78,-9,2154,338,6232
1482.4717,51.22,45.24,107.96,7,2153,-18,7129
1482.5428,54.51,-4.68,75.09,71,2025,-3221,7478
1482.6050,1.05,-68.25,-12.59,13,1862,-565,6293
1482.6765,2.62,-69.81,-1.76,0,1858,189,7264
1482.7383,-31.32,-70.59,-63.42,-4,1856,23,7156
1482.8100,-60.55,-70.59,-85.09,-4,1856,23,6718
1482.8717,-34.45,33.54,-36.31,-22,2123,1134,7160
1482.9432,-31.84,60.45,-29.37,-23,2192,1166,6845
1483.0050,14.28,71.37,44.73,16,2220,-259,6409
1483.0765,37.44,36.66,63.16,36,2131,-1401,7456
1483.1384,42.46,12.09,62.37,36,2068,-2029,7500
1483.2099,33.85,-54.60,37.20,27,1897,-1987,6599
1483.2717,16.03,-70.59,8.08,16,1856,-677,7710
1483.3433,-19.10,-70.98,-41.39,-24,1855,287,7231
1483.4051,-44.75,-42.12,-44.75,-22,1929,1285,6182
1483.4764,-78.70,6.63,-94.19,-54,2054,2623,7646
