t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
1713.6598,57.98,-35.10,66.46,37,1947,-1708,9786
1713.7220,28.20,-66.69,-0.78,9,1866,-357,13799
1713.7932,-5.94,-63.57,-29.27,-14,1874,83,7283
1713.8551,-43.19,-44.85,-77.69,-25,1922,1334,6359
1713.9267,-61.85,7.02,-85.56,-39,2055,2234,6575
1713.9885,-47.16,49.14,-41.49,-20,2163,1396,9060
1714.0598,-17.02,66.69,4.85,2,2208,336,6602
1714.1218,26.14,57.33,65.69,29,2184,-1019,8256
1714.1935,42.43,27.30,63.35,33,2107,-1517,6281
1714.2551,63.56,-24.18,79.95,44,1975,-1519,6677
1714.3264,40.94,-61.23,33.07,16,1880,-1399,6174
1714.3884,7.85,-64.74,-15.92,-3,1871,350,6547
1714.4598,-33.58,-56.55,-68.38,-29,1892,1058,6237
1714.5217,-55.37,-19.11,-80.59,-40,1988,2094,8749
1714.5932,-59.81,30.42,-74.59,-35,2115,1592,6681
1714.6550,-33.69,64.35,-19.81,-12,2202,706,6918
1714.7264,5.69,63.96,35.75,15,2201,-518,8598
1714.7884,43.59,36.66,76.61,38,2131,-1625,6557
1714.8597,50.69,24.96,50.23,35,2101,-1632,6253
1714.9217,76.46,-40.95,85.64,42,1932,-1834,6284
1714.9934,24.61,-65.91,-4.22,-1,1868,-216,5952
1715.0551,-11.01,-63.57,-43.88,-16,1874,266,6284
1715.1270,-39.29,-31.20,-71.10,-32,1957,1266,6255
1715.1884,-59.04,17.55,-79.01,-39,2082,1917,6231
1715.2598,-47.81,54.21,-48.57,-25,2176,1343,6495
1715.3217,-5.47,67.47,20.34,0,2210,-91,8728
1715.3932,30.64,51.48,62.03,31,2169,-745,6299
1715.4551,53.44,14.04,86.45,35,2073,-1395,6420
1715.5269,56.13,-36.27,57.01,35,1944,-2449,6263
1715.5884,37.42,-62.40,30.75,23,1877,-3489,6590
1715.6599,5.71,-66.30,-14.06,-3,1867,-90,6482
1715.7218,-40.18,-51.09,-74.66,-38,1906,1237,6422
