t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
653.6304,-23.41,46.41,7.73,-6,2156,601,10594
653.6919,-26.16,47.58,-25.52,-7,2159,187,7114
653.7635,-3.84,47.97,40.02,14,2160,-1708,9821
653.8253,-2.83,42.90,11.18,6,2147,-507,11027
653.8967,7.35,39.00,44.89,2,2137,-87,13899
653.9587,23.42,13.26,44.68,13,2071,-1077,10030
654.0304,26.30,0.00,56.21,10,2037,-641,7978
654.0918,31.05,-23.01,38.41,12,1978,-834,6900
654.1635,34.69,-39.00,55.07,16,1937,-682,8034
654.2252,23.19,-51.87,-0.61,15,1904,-1621,6140
654.2967,35.12,-62.01,51.21,15,1878,-420,6003
654.3586,6.17,-72.54,-36.95,-12,1851,116,6771
654.4301,16.50,-65.13,22.25,0,1870,126,6357
654.4921,-9.51,-64.74,-62.45,-18,1871,402,7381
654.5634,-2.17,-47.19,5.18,-1,1916,902,6227
654.6253,-33.78,-43.29,-89.93,-25,1926,707,6198
654.6971,-19.55,-13.26,-14.45,-3,2003,741,5995
654.7586,-43.53,-6.24,-78.34,-25,2021,843,6615
654.8304,-25.64,21.45,-18.19,-1,2092,-93,6745
654.8919,-38.58,30.42,-37.54,-19,2115,1070,7712
654.9636,-21.28,46.02,-0.97,0,2155,-134,8144
655.0253,-24.45,50.70,-13.30,-6,2167,345,7067
655.0972,-2.61,52.26,34.14,7,2171,-277,6607
655.1587,-3.37,40.95,12.78,4,2142,-103,8719
655.2303,14.79,31.59,58.08,16,2118,-501,6371
655.2920,14.98,16.38,19.74,13,2079,-773,7904
655.3646,33.65,2.73,71.14,10,2044,-974,6605
655.4253,27.14,-28.08,24.36,10,1965,-1033,6403
655.4974,37.49,-38.22,60.99,18,1939,-546,6040
655.5586,21.26,-60.06,1.83,-2,1883,65,6294
655.6300,31.83,-59.67,38.12,12,1884,-56,6163
655.6919,4.16,-70.98,-32.09,-12,1855,409,6033
655.7640,13.14,-64.74,7.60,4,1871,-100,6422
655.8253,-15.19,-65.52,-68.47,-18,1869,-65,6300
655.8974,-7.46,-47.58,-7.17,-6,1915,559,6067
655.9586,-30.73,-35.10,-73.28,-23,1947,1096,12207
656.0301,-31.19,-13.26,-44.56,-17,2003,1416,8534
656.0919,-38.67,0.00,-68.63,-16,2037,636,6645
656.1635,-30.46,29.25,-26.81,-7,2112,546,6403
656.2253,-33.53,37.05,-47.71,-8,2132,1002,8217
656.2965,-17.71,51.09,12.13,-2,2168,721,10697
656.3586,-20.86,48.36,-15.79,-4,2161,313,6709
656.4299,-4.40,52.26,43.32,1,2171,45,14094
656.4920,5.92,45.63,26.90,16,2154,-516,13190
656.5638,10.89,26.91,49.16,16,2106,-169,10043
656.6253,26.93,8.97,52.49,24,2060,-1268,10067
656.6961,21.89,-8.19,41.97,11,2016,-652,10830
656.7587,42.56,-27.30,63.51,19,1967,-1280,6370
656.8302,34.73,-45.24,24.15,8,1921,-450,7204
656.8919,33.34,-57.72,22.36,9,1889,-186,6255
