t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
583.5586,15.16,-64.74,-18.85,-4,1871,-561,6696
583.6300,-12.96,-53.04,-70.80,-21,1901,564,6003
583.6919,-31.67,-25.74,-78.47,-29,1971,1510,7069
583.7639,-39.87,5.85,-70.06,-22,2052,1274,7369
583.8253,-40.18,37.05,-28.35,-21,2132,1060,6569
583.8976,-24.80,48.36,5.88,-1,2161,-93,7580
583.9586,-0.87,45.24,54.48,15,2153,-380,8971
584.0301,22.54,19.89,73.20,27,2088,-1291,7015
584.0919,37.40,-10.14,95.82,24,2011,-1538,6840
584.1640,39.58,-40.95,52.20,21,1932,-857,6844
584.2253,37.12,-60.84,30.35,18,1881,-642,9525
584.2974,14.54,-66.30,-18.70,-6,1867,263,7744
584.3586,-12.19,-62.79,-70.11,-16,1876,266,6377
584.4303,-25.98,-33.93,-75.03,-24,1950,1237,6332
584.4920,-46.80,-0.78,-90.08,-32,2035,1301,7178
584.5641,-47.19,31.59,-62.10,-26,2118,1456,6347
584.6253,-24.85,49.92,7.19,4,2165,31,9106
584.6973,-15.14,47.19,24.88,1,2158,-80,7461
584.7586,16.03,34.32,80.68,24,2125,-1884,6704
584.8296,33.55,-1.56,67.05,24,2033,-1248,6384
584.8919,51.46,-27.69,101.81,33,1966,-974,6590
584.9643,39.61,-54.99,33.30,18,1896,-545,6298
585.0252,23.42,-65.13,-11.30,-3,1870,-74,6460
585.0969,4.99,-65.13,-55.84,-6,1870,112,6570
585.1586,-14.41,-40.95,-58.61,-20,1932,589,6497
585.2306,-43.30,-16.77,-100.02,-36,1994,1430,7003
585.2919,-43.20,20.28,-70.94,-20,2089,1536,6491
585.3640,-34.45,39.39,-28.77,-18,2138,1181,6613
585.4254,-15.37,51.87,24.58,5,2170,-31,9355
585.4976,7.43,39.78,63.36,19,2139,-525,6971
585.5586,29.40,10.14,84.45,27,2063,-993,9211
585.6302,40.13,-18.33,88.16,27,1990,-952,8637
