t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
856.2840,-29.19,62.79,-25.13,-20,2198,1329,6738
856.3548,-2.80,70.98,12.68,4,2219,114,7011
856.4174,27.28,56.55,56.38,27,2182,-1254,6394
856.4885,50.04,24.57,76.18,45,2100,-2139,6787
856.5507,38.28,-26.13,44.22,34,1970,-1875,6913
856.6223,27.46,-58.50,22.75,26,1887,-1143,6213
856.6840,-10.95,-72.54,-35.48,-7,1851,-163,6888
856.7553,-32.96,-56.55,-59.70,-26,1892,889,6390
856.8174,-42.14,0.00,-60.60,-38,2037,1661,6456
856.8885,-42.43,26.52,-56.16,-33,2105,1805,8051
856.9508,-16.57,62.40,-0.26,-32,2197,1763,7290
857.0223,21.08,64.74,42.77,26,2203,-1108,6551
857.0840,36.40,32.37,60.82,29,2120,-1445,6922
857.1556,54.35,13.26,76.59,38,2071,-1936,6375
857.2174,34.45,-59.28,33.67,30,1885,-1590,6376
857.2882,0.51,-69.42,-16.49,3,1859,-123,6734
857.3508,-16.91,-63.96,-38.34,-15,1873,148,6495
857.4221,-46.67,-21.06,-75.50,-41,1983,1765,6590
857.4840,-43.28,19.11,-55.34,-40,2086,2327,6999
857.5552,-31.00,41.34,-25.51,-32,2143,1804,6325
857.6174,6.93,76.05,28.65,3,2232,343,6749
857.6899,32.41,66.69,59.80,22,2208,-940,11768
857.7508,40.08,-1.95,63.76,34,2032,-1814,10430
857.8232,44.10,-42.51,59.04,38,1928,-1918,9348
857.8841,11.65,-69.42,-1.48,9,1859,-370,6641
857.9556,-13.17,-70.59,-30.41,-12,1856,-215,6124
858.0174,-36.79,-39.78,-61.44,-32,1935,1328,6394
858.0882,-54.74,8.19,-76.59,-46,2058,2456,7197
858.1508,-35.35,43.29,-36.88,-32,2148,1549,6465
858.2225,-11.64,69.03,0.16,-12,2214,328,6354
858.2841,22.54,67.86,52.03,22,2211,-500,7412
858.3555,41.82,35.10,62.14,40,2127,-1844,6639
858.4174,44.44,-23.01,61.50,34,1978,-1785,6509
858.4883,37.17,-59.28,40.41,30,1885,-1312,6990
858.5509,-9.63,-72.54,-35.70,-12,1851,342,6333
858.6223,-23.96,-63.96,-42.72,-26,1873,686,6525
858.6841,-56.04,-25.74,-74.45,-25,1971,1461,7011
858.7555,-73.40,27.69,-81.07,-55,2108,2214,6807
858.8174,-24.28,69.42,3.53,-9,2215,389,6745
858.8887,-0.58,64.74,23.46,13,2203,-727,6910
858.9509,23.80,42.90,55.64,27,2147,-988,6382
859.0219,46.40,12.09,75.23,43,2068,-1996,6901
859.0841,35.78,12.09,48.12,43,2068,-1996,6619
859.1557,8.32,-71.37,-3.05,9,1854,-644,6133
859.2174,-20.36,-72.15,-40.76,-16,1852,-442,6671
859.2886,-44.20,-31.98,-68.24,-37,1955,1522,6376
859.3509,-46.40,15.99,-59.33,-38,2078,1670,6599
859.4222,-38.44,47.19,-40.68,-33,2158,1472,7204
859.4841,1.36,76.05,24.62,-1,2232,251,6841
859.5554,21.80,62.79,44.91,19,2198,-909,6385
859.6174,42.98,19.89,71.27,37,2088,-1769,6957
859.6888,40.97,-28.08,52.33,35,1965,-1365,6582
859.7509,26.02,-60.45,19.97,29,1882,-1406,6428
859.8222,-10.50,-70.98,-32.77,-14,1855,87,7236
859.8841,-27.69,-54.99,-51.48,-25,1896,1396,6834
859.9554,-46.87,-3.51,-71.50,-39,2028,2034,6626
860.0174,-45.53,44.46,-55.87,-35,2151,2433,7058
860.0886,-14.72,54.99,-0.28,-32,2178,1877,6955
860.1509,18.90,69.81,40.24,25,2216,-703,6558
860.2224,33.73,35.10,55.23,31,2127,-1325,7155
860.2841,51.12,-8.19,75.81,43,2016,-2018,6405
860.3557,36.57,-58.50,36.26,33,1887,-1627,6612
860.4174,-2.13,-68.64,-19.61,-9,1861,69,7204
860.4888,-11.20,-67.86,-25.99,-12,1863,308,6505
860.5509,-48.15,-38.22,-79.63,-32,1939,1599,6312
860.6218,-48.49,27.30,-58.98,-44,2107,1845,7435
860.6841,-28.55,63.57,-24.37,-22,2200,1354,6972
860.7555,-2.68,71.76,11.52,4,2221,384,6405
860.8174,39.19,57.72,76.60,35,2185,-724,6656
860.8889,40.83,16.77,58.41,42,2080,-1905,6565
860.9509,34.66,-28.08,45.13,26,1965,-1617,6241
861.0222,28.93,-60.06,23.63,30,1883,-1371,7049
861.0846,-26.91,-73.32,-62.23,-10,1849,1516,6207
861.1557,-32.53,-37.05,-51.38,-30,1942,1288,6167
861.2175,-46.12,-17.94,-71.09,-30,1991,1644,6982
861.2888,-35.68,17.16,-41.79,-41,2081,1999,6440
861.3510,-11.80,66.30,-2.10,-19,2207,1270,6471
861.4223,21.97,73.32,48.04,6,2225,63,7492
861.4841,47.85,30.81,76.03,40,2116,-1546,6261
861.5557,44.39,-20.67,55.81,36,1984,-1928,6768
861.6174,32.33,-56.55,34.04,23,1892,-1584,6567
861.6888,3.66,-61.62,-16.05,19,1879,-733,6211
861.7508,-33.27,-56.16,-58.44,-38,1893,1692,6605
861.8221,-38.37,-14.04,-57.66,-33,2001,1760,6748
861.8841,-48.92,-3.12,-64.88,-34,2029,1786,6373
861.9554,-24.42,68.64,-16.34,-18,2213,968,6849
862.0174,7.93,73.32,28.44,11,2225,38,6899
862.0887,37.12,56.16,66.63,29,2181,-1069,6223
862.1510,48.48,35.10,69.27,39,2127,-1623,6859
862.2220,37.53,-49.92,42.39,29,1909,-2389,6492
862.2841,17.83,-68.25,11.27,10,1862,-591,5990
862.3556,-16.63,-66.69,-40.98,-17,1866,405,6579
862.4174,-41.12,-66.69,-72.12,-17,1866,405,6292
862.4887,-47.35,15.60,-65.14,-40,2077,2052,6685
862.5509,-38.28,53.04,-46.28,-26,2173,1473,6616
