t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
438.6254,-32.69,49.14,-22.50,-8,2163,828,9179
438.6976,-14.33,50.70,3.62,6,2167,-180,6618
438.7586,-5.56,47.97,30.53,7,2160,-365,9669
438.8299,11.56,28.86,39.29,14,2111,-984,5979
438.8921,29.00,28.86,72.43,14,2111,-984,8594
438.9632,39.78,-11.31,74.40,25,2008,-810,6295
439.0253,36.60,-35.10,44.75,16,1947,-1183,6686
439.0971,35.61,-54.21,33.59,14,1898,-832,6587
439.1585,24.43,-64.74,6.10,2,1871,-316,6323
439.2305,14.92,-66.30,-8.61,-1,1867,-107,6952
439.2918,-10.03,-61.62,-63.02,-15,1879,469,6001
439.3636,-13.62,-38.61,-34.44,-14,1938,623,6070
439.4253,-30.21,-25.74,-77.77,-20,1971,679,6397
439.4965,-33.64,9.75,-39.10,-13,2062,1041,9590
439.5586,-41.01,24.18,-68.18,-17,2099,566,11006
439.6308,-26.78,47.19,8.20,-5,2158,642,7323
439.6918,-20.48,44.07,-16.62,1,2150,-1307,8869
439.7635,-1.98,48.75,48.58,11,2162,-375,6963
439.8253,10.87,31.20,42.77,13,2117,-1197,6773
439.8965,27.57,13.26,65.70,23,2071,-751,6275
439.9586,37.85,-14.04,51.99,24,2001,-970,6490
440.0304,36.16,-35.10,36.16,17,1947,-1249,6611
440.0919,36.45,-55.77,32.91,7,1894,-567,6486
440.1636,27.13,-65.13,3.32,2,1870,-297,6251
440.2252,15.36,-67.86,-13.84,-5,1863,-542,6085
440.2969,-5.93,-58.89,-55.02,-15,1886,-124,6265
440.3586,-14.46,-39.78,-49.27,-17,1935,682,6372
440.4308,-26.25,-18.72,-77.90,-16,1989,1750,7592
440.4920,-39.33,9.75,-61.90,-28,2062,1820,8140
440.5641,-30.25,31.59,-50.66,-12,2118,678,8449
440.6253,-31.49,46.80,-18.62,-11,2157,1188,6632
440.6966,-14.11,51.09,2.26,5,2168,-315,9106
440.7586,-5.48,47.97,26.36,4,2160,-126,9563
