t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
258.7521,47.34,-54.99,32.65,24,1896,-1113,6297
258.8136,-3.44,-64.74,-37.82,-12,1871,94,8418
258.8852,-31.94,-29.64,-57.60,-30,1961,1797,6701
258.9469,-63.86,3.12,-97.11,-47,2045,1914,6721
259.0189,-52.31,46.80,-56.90,-35,2157,1981,6605
259.0802,-14.39,68.64,8.83,-5,2213,771,6600
259.1520,14.39,61.23,40.25,19,2194,-809,6490
259.2136,50.67,29.64,81.31,42,2113,-1794,6257
259.2849,61.40,-9.36,81.17,37,2013,-1896,6399
259.3470,39.84,-57.33,32.76,22,1890,-1062,9291
259.4185,5.55,-65.52,-14.90,-6,1869,-203,6671
259.4802,-24.35,-57.33,-54.91,-20,1890,534,7977
259.5518,-55.57,-12.09,-82.75,-38,2006,1927,8842
259.6136,-57.04,30.42,-61.02,-38,2115,1748,6304
259.6852,-35.17,30.42,-22.85,-38,2115,1748,7216
259.7469,0.19,70.98,31.66,13,2219,20,8431
259.8184,33.27,45.24,60.75,32,2153,-1369,6590
259.8803,59.99,10.92,89.55,40,2065,-1585,6311
259.9517,51.88,-39.78,57.74,24,1935,-1382,6239
260.0137,25.03,-65.52,10.12,6,1869,-607,6139
260.0858,-11.66,-59.67,-42.85,-19,1884,830,6294
260.1469,-45.47,-29.25,-79.44,-36,1962,1728,6520
260.2189,-64.83,7.02,-89.83,-38,2055,1934,6490
260.2804,-43.71,50.31,-33.00,-20,2166,587,6414
260.3517,-19.46,69.42,2.49,-2,2215,141,6215
260.4136,26.07,58.11,61.51,28,2186,-1168,6483
260.4858,51.10,24.57,82.56,37,2100,-1500,6368
260.5470,54.35,-24.57,61.00,35,1974,-1730,7889
260.6185,43.34,-52.65,34.56,20,1902,-1369,6071
260.6803,-5.42,-66.69,-36.63,-5,1866,319,7025
260.7518,-36.31,-43.68,-65.21,-27,1925,1585,6001
260.8137,-54.50,-17.94,-75.59,-37,1991,-387,6312
260.8864,-62.22,34.71,-60.04,-39,2126,2220,6297
260.9469,-31.06,67.08,-14.71,-10,2209,1050,6528
261.0183,9.80,66.69,40.20,19,2208,-390,6343
261.0804,38.76,39.39,72.19,33,2138,-897,10430
261.1520,63.65,-8.19,86.94,43,2016,-2279,6485
261.2137,47.98,-40.95,47.31,28,1932,-1162,6352
261.2853,13.38,-65.13,-9.89,2,1870,-349,6562
261.3469,-13.34,-56.16,-38.68,-19,1893,439,6817
261.4184,-53.41,-26.52,-89.29,-44,1969,1279,6375
261.4803,-50.17,25.74,-57.20,-30,2103,1493,9140
261.5515,-49.17,59.28,-46.15,-28,2189,1494,8278
261.6136,-2.49,72.54,31.31,13,2223,-232,8053
261.6859,24.08,53.04,53.67,25,2173,-1044,6425
261.7470,54.71,21.45,81.32,41,2092,-1592,6507
261.8182,55.79,-29.25,49.82,31,1962,-1617,7197
261.8805,34.98,-61.62,25.50,13,1879,-1020,6211
261.9517,-4.79,-64.35,-31.25,-11,1872,238,6509
262.0136,-34.42,-42.51,-60.81,-30,1928,1114,6464
262.0860,-63.64,-10.53,-83.06,-46,2010,1657,6342
262.1470,-50.02,47.58,-54.07,-30,2159,1504,6380
262.2192,-19.52,72.15,8.81,2,2222,378,7418
262.2803,12.59,64.35,38.77,18,2202,-512,6843
