t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
743.8061,23.39,-6.63,29.59,10,2020,-702,6148
743.8678,27.11,-21.06,28.70,12,1983,-791,6970
743.9394,32.02,-32.37,48.09,11,1954,-730,6923
744.0012,25.34,-44.07,16.92,9,1924,-894,6917
744.0730,28.96,-53.82,35.15,11,1899,-571,7814
744.1345,20.94,-60.45,22.33,2,1882,230,8019
744.2057,17.74,-67.86,0.77,5,1863,-226,8070
744.2679,13.86,-70.20,12.12,3,1857,-371,9905
744.3408,8.01,-69.81,-4.35,0,1858,175,6285
744.4011,0.90,-72.15,-20.19,-6,1852,-114,9232
744.4731,1.04,-62.79,-5.96,-4,1876,616,6591
744.5346,-8.68,-59.67,-28.41,-8,1884,182,8058
744.6063,-11.30,-55.38,-10.54,-11,1895,651,6218
744.6678,-21.20,-39.78,-51.05,-15,1935,630,7245
744.7395,-19.09,-23.79,-26.59,-10,1976,332,6118
744.8011,-24.78,-14.82,-37.67,-8,1999,942,10913
744.8737,-29.94,0.00,-37.96,-13,2037,813,10968
744.9347,-24.54,14.43,-23.19,-7,2074,529,15824
745.0069,-30.06,21.06,-43.01,-9,2091,529,10892
745.0681,-20.44,40.56,-2.19,-4,2141,605,10085
745.1450,-23.78,39.00,-38.02,-6,2137,-422,6732
745.2011,-18.14,48.36,3.75,-14,2161,506,10567
745.2749,-13.58,45.63,-22.82,3,2154,-967,10673
745.3346,-10.92,58.50,18.89,-1,2187,122,9428
745.4068,2.84,47.19,12.97,7,2158,-595,10127
745.4678,-2.10,47.58,17.15,-4,2159,437,8008
745.5396,15.53,41.34,39.76,15,2143,-1016,7045
745.6011,-0.36,28.86,-21.38,2,2111,-638,9209
745.6731,27.66,21.84,72.98,22,2093,-505,6729
745.7346,12.64,6.63,1.26,-1,2054,942,6330
745.8067,33.45,-9.36,54.65,21,2013,-820,7603
745.8678,19.09,-21.06,13.51,2,1983,-374,6620
745.9397,29.50,-30.42,36.17,15,1959,-1139,6777
746.0012,20.66,-42.90,10.33,7,1927,115,6641
746.0730,26.83,-58.11,28.95,11,1888,-471,6508
746.1346,21.16,-62.01,28.52,5,1878,-352,7140
746.2067,10.81,-67.86,-7.72,2,1863,-98,7258
746.2678,16.61,-65.91,22.23,3,1868,190,6577
746.3399,7.04,-71.37,-11.98,-3,1854,281,5857
746.4011,5.11,-68.64,-2.32,-4,1861,98,7887
746.4734,1.63,-64.35,-3.00,1,1872,375,6060
746.5346,-12.78,-62.79,-30.71,-11,1876,-30,6509
746.6067,-10.03,-52.65,-7.29,-4,1902,282,5991
746.6678,-25.75,-40.95,-55.80,-18,1932,836,6218
746.7391,-12.25,-24.57,-7.26,1,1974,111,6994
746.8011,-35.24,-20.28,-71.23,-22,1985,486,6424
746.8734,-20.03,-0.39,4.26,-7,2036,585,6627
746.9345,-34.52,4.29,-62.68,-15,2048,339,8801
747.0063,-16.10,30.42,25.17,-2,2115,812,6334
747.0678,-37.66,28.08,-72.46,-17,2109,493,6479
747.1397,-12.44,45.24,21.11,9,2153,-19,6335
747.2011,-29.63,42.90,-48.68,-11,2147,85,6643
747.2734,-10.18,50.70,27.79,-14,2167,564,6605
747.3345,-17.31,51.48,-33.83,8,2169,-468,8729
747.4063,1.60,54.99,53.18,11,2178,-163,7087
747.4677,-6.31,43.29,-12.46,0,2148,420,6499
747.5393,10.17,41.73,48.14,13,2144,-384,6075
747.6011,3.51,25.35,3.83,1,2102,-345,6794
747.6732,17.11,17.55,41.03,13,2082,-785,6813
747.7345,14.58,4.29,15.07,9,2048,-621,7875
747.8069,22.52,-7.80,32.71,10,2017,-538,6749
747.8679,23.06,-20.67,20.47,10,1984,-745,6636
747.9402,26.42,-30.81,22.89,13,1958,-930,7731
748.0011,25.50,-39.78,20.75,8,1935,-469,6434
748.0729,27.40,-54.60,26.51,10,1897,-497,6153
748.1345,20.59,-61.62,24.33,5,1879,-343,7305
748.2068,13.00,-68.64,-9.65,2,1861,-295,6409
748.2678,16.35,-69.42,18.56,7,1859,-410,7938
748.3400,4.64,-71.76,-13.79,-8,1853,-76,7760
748.4012,3.16,-68.64,0.42,-5,1861,-428,6784
748.4731,-5.28,-66.69,-42.17,-1,1866,125,6214
748.5345,-3.85,-56.55,0.62,-3,1892,309,6674
748.6072,-14.82,-49.14,-32.27,-11,1911,1177,6746
748.6678,-18.12,-39.00,-30.11,-11,1937,804,8874
748.7398,-22.73,-26.52,-47.51,-14,1969,892,7238
748.8013,-20.63,-12.09,-22.51,-10,2006,639,7176
748.8717,-30.90,-2.73,-54.35,-17,2030,983,7140
748.9345,-18.50,12.09,-8.13,-3,2068,-69,8706
749.0066,-31.61,19.11,-49.80,-11,2086,479,6965
749.0681,-18.39,39.78,-4.54,-2,2139,355,9317
749.1400,-20.35,44.07,-20.89,-6,2150,138,6727
749.2011,-18.85,47.97,-12.90,-7,2160,684,6277
749.2726,-10.18,51.48,-0.75,1,2169,-12,6632
749.3345,-9.04,51.87,3.64,0,2170,-27,6295
749.4063,-2.36,52.26,11.69,4,2171,219,6735
749.4678,0.89,46.02,17.72,4,2155,86,9155
749.5395,8.44,34.71,10.77,6,2126,-690,6093
749.6013,14.21,31.98,41.98,12,2119,-133,6272
749.6730,11.20,17.16,11.73,4,2081,-206,6328
749.7345,22.29,4.29,39.70,13,2048,-539,6588
749.8066,18.63,-10.14,15.54,3,2011,-379,6696
749.8678,31.12,-21.84,32.44,17,1981,-867,8242
749.9401,20.72,-33.15,23.32,3,1952,148,7522
750.0011,30.75,-42.51,28.87,14,1928,245,7766
750.0727,21.04,-55.77,18.28,5,1894,-205,6561
750.1345,24.11,-56.94,25.33,7,1891,857,6653
750.2063,13.57,-63.96,-3.73,-2,1873,771,6681
750.2679,18.39,-67.08,19.47,4,1865,-124,8943
750.3400,11.72,-70.20,-6.97,-1,1857,-23,7339
750.4011,7.29,-67.47,12.51,-5,1864,529,9227
750.4727,-7.09,-64.35,-17.57,-3,1872,680,6403
750.5345,-16.11,-61.62,-25.40,-8,1879,79,6804
750.6052,-18.41,-52.65,-19.37,-10,1902,365,6517
750.6677,-22.75,-39.39,-36.29,-11,1936,594,6215
750.7393,-26.93,-23.79,-34.76,-15,1976,432,7316
750.8011,-24.21,-16.38,-30.52,-9,1995,527,9279
750.8731,-30.03,-5.07,-43.82,-9,2024,454,7414
750.9345,-23.47,13.26,-18.61,-7,2071,628,8455
751.0059,-30.47,25.74,-52.11,-15,2103,772,9466
751.0678,-16.51,39.39,3.58,-2,2138,565,6396
