t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
222.1470,11.96,58.89,29.76,14,2188,-824,7089
222.2194,38.73,38.22,68.96,29,2135,-1153,8581
222.2803,53.76,-2.73,74.86,32,2030,-1362,10070
222.3515,38.01,-42.90,23.97,14,1927,-879,9668
222.4137,31.65,-58.50,27.02,12,1887,-548,7990
222.4854,-1.10,-65.13,-32.66,-11,1870,180,6925
222.5472,-22.31,-54.99,-30.61,-7,1896,135,13418
222.6187,-69.49,-28.86,-91.26,-43,1963,1516,8896
222.6803,-44.21,23.40,-37.33,-16,2097,1601,7089
222.7517,-57.07,49.14,-57.61,-31,2163,1036,9444
222.8138,-22.62,72.54,0.37,-4,2223,434,9059
222.8855,4.88,63.18,22.46,15,2199,-622,6499
222.9472,25.28,63.18,25.28,15,2199,-622,11989
223.0187,73.77,17.94,100.90,43,2083,-2654,8810
223.0804,38.62,-32.37,14.88,13,1954,-1236,11351
223.1518,51.71,-38.61,55.46,7,1938,-426,6980
223.2136,12.10,-64.74,-20.74,4,1871,-401,6270
223.2871,-8.85,-50.70,-26.28,-17,1907,1016,9143
223.3470,-39.14,-30.42,-70.54,-30,1959,1163,10302
223.4194,-48.97,-2.34,-63.79,-35,2031,1638,6866
223.4804,-55.48,19.11,-59.57,-31,2086,1740,9184
223.5516,-26.99,63.57,-12.78,-6,2200,245,10792
223.6137,-7.04,70.20,13.81,-2,2217,74,8096
223.6858,32.16,51.09,58.03,30,2168,-1277,10626
223.7472,38.46,24.57,60.47,25,2100,-1152,10809
223.8186,52.95,-23.01,59.91,32,1978,-2096,7267
223.8803,41.11,-52.65,28.26,18,1902,-1688,9774
223.9515,20.17,-63.57,7.27,6,1874,-358,6831
224.0138,-6.35,-63.57,-29.79,-13,1874,-106,7185
224.0847,-31.72,-33.93,-50.53,-26,1950,1625,7068
224.1473,-48.68,-6.24,-71.26,-34,2021,1424,9001
224.2184,-48.60,23.01,-58.44,-30,2096,1271,6387
224.2803,-34.20,60.84,-23.92,-15,2193,1305,10472
224.3517,-12.76,73.71,4.53,1,2226,1208,8863
224.4137,16.20,62.79,42.94,18,2198,-477,8104
224.4848,41.86,49.92,61.16,30,2165,-909,8159
224.5473,50.95,-1.17,50.95,20,2034,-880,9066
224.6184,67.02,-38.22,56.79,32,1939,-1927,6123
224.6802,29.80,-57.72,-2.67,7,1889,177,9126
224.7515,18.72,-61.23,11.29,-3,1880,249,6867
224.8137,-26.67,-55.77,-68.27,-30,1894,357,6384
224.8849,-44.33,-11.70,-62.40,-32,2007,1437,7239
224.9471,-50.74,15.21,-69.52,-28,2076,1432,6876
225.0185,-41.63,58.50,-35.16,-17,2187,2213,6453
225.0804,-20.11,63.57,-3.03,-15,2200,319,9911
225.1515,6.11,65.13,26.79,14,2204,-11,7272
225.2137,28.95,48.36,55.64,21,2161,-814,10670
225.2851,57.34,11.70,64.69,27,2067,-927,7632
225.3471,69.06,-26.91,70.76,36,1968,-1374,6598
225.4188,32.96,-56.16,13.08,7,1893,-367,6604
225.4802,22.17,-62.79,2.60,6,1876,-532,6806
225.5515,-19.14,-55.38,-51.18,-25,1895,633,6664
225.6136,-30.12,-28.08,-47.23,-27,1965,912,6480
225.6852,-54.24,-0.39,-75.14,-36,2036,1145,6789
225.7472,-46.09,32.76,-44.83,-38,2121,1786,6836
225.8181,-25.56,64.74,-15.29,-9,2203,549,8343
225.8803,-1.64,71.76,23.30,5,2221,-100,9353
225.9521,26.36,51.48,46.93,25,2169,-180,6967
226.0136,41.61,24.18,60.83,30,2099,-707,9310
226.0849,51.75,-20.28,56.77,32,1985,-1468,7332
226.1471,43.01,-53.04,41.91,19,1901,-1924,6770
226.2180,16.68,-63.18,-1.30,2,1875,-589,5995
226.2802,-5.71,-60.45,-27.53,-11,1882,342,6356
226.3520,-32.65,-40.17,-53.82,-29,1934,1211,6230
226.4136,-56.17,-12.09,-86.53,-36,2006,606,6512
226.4849,-43.26,39.39,-34.92,-21,2138,1559,6381
226.5473,-38.08,58.50,-38.19,-16,2187,840,7206
226.6186,-7.82,65.91,16.41,0,2206,-1698,6722
226.6802,18.30,56.16,40.21,19,2181,-974,6686
226.7518,42.52,33.93,67.29,32,2124,-1560,6685
226.8136,45.09,-3.90,53.94,30,2027,-1343,7293
226.8852,47.27,-44.07,48.84,26,1924,-3598,6768
226.9470,23.28,-62.40,9.21,9,1877,-760,6157
227.0187,3.60,-64.35,-10.83,-7,1872,487,6424
227.0802,-28.06,-47.58,-57.35,-24,1915,1335,6156
227.1517,-48.46,-11.31,-69.43,-33,2008,1595,6464
227.2136,-51.18,17.55,-67.73,-27,2082,2042,7388
227.2851,-39.58,50.31,-32.84,-25,2166,1002,6687
227.3469,-15.56,70.59,4.21,-3,2218,501,8042
227.4185,5.63,65.13,25.56,11,2204,-453,6519
227.4803,35.10,42.12,62.58,27,2145,-1176,6706
227.5518,46.47,13.26,56.62,32,2071,-1132,8066
227.6136,54.23,-27.69,65.49,32,1966,-1027,6554
227.6848,33.63,-54.21,21.65,17,1898,-1400,6231
227.7470,7.84,-67.86,-10.82,-8,1863,-538,6248
227.8186,-14.40,-55.77,-35.30,-17,1894,476,6127
227.8803,-42.23,-28.47,-68.20,-31,1964,820,6370
227.9515,-50.94,-0.39,-65.14,-34,2036,1154,6625
228.0136,-48.21,44.85,-46.85,-25,2152,1507,6406
228.0849,-28.41,60.45,-14.75,-17,2192,1005,6267
228.1471,6.28,71.76,34.55,15,2221,-350,9161
228.2187,16.91,47.58,31.70,16,2159,-634,6542
228.2802,51.99,25.74,79.46,36,2103,-1165,6959
228.3520,58.01,-11.31,60.23,22,2008,-1291,6251
228.4137,52.09,-50.70,36.88,25,1907,-1986,6702
228.4848,24.88,-59.28,7.54,3,1885,274,6626
228.5470,-7.16,-60.06,-38.32,-17,1883,449,9788
228.6186,-28.73,-41.73,-50.31,-28,1930,951,6807
228.6802,-46.95,-6.24,-69.65,-28,2021,1503,6320
228.7518,-47.50,31.59,-52.79,-29,2118,1770,7395
228.8137,-36.02,67.47,-28.33,-17,2210,1810,7990
228.8848,-6.16,73.32,13.58,7,2225,837,7071
228.9470,15.29,58.50,40.37,18,2187,-623,9594
229.0241,40.73,27.69,64.04,32,2108,-1512,9276
229.0803,43.56,-0.39,51.93,28,2036,-1689,6499
229.1521,49.18,-36.27,49.18,31,1944,-1362,9454
229.2135,26.30,-57.72,10.47,7,1889,-132,9492
229.2853,3.10,-64.35,-26.74,-7,1872,134,13421
229.3469,-27.08,-45.24,-53.59,-22,1921,1396,7284
229.4235,-39.58,-31.59,-61.13,-27,1956,1550,10082
229.4802,-53.40,24.96,-66.96,-31,2101,1671,8937
229.5518,-39.27,51.48,-33.79,-20,2169,213,7281
229.6137,-15.59,68.64,1.09,-6,2213,737,7184
229.6848,11.15,70.98,33.13,6,2219,-25,6592
229.7469,31.80,42.12,31.80,11,2145,-1076,6941
229.8185,69.93,16.77,89.89,39,2080,-1599,6144
229.8803,56.74,-28.47,48.01,26,1964,-1031,7861
229.9522,46.67,-54.99,39.34,19,1896,-1309,6597
230.0137,9.12,-63.18,-17.60,-7,1875,135,6594
230.0852,-7.50,-54.99,-26.45,-13,1896,463,6482
230.1469,-42.18,-27.69,-70.60,-35,1966,1147,6151
230.2184,-52.36,12.09,-69.94,-31,2068,1669,6773
230.2803,-42.68,47.58,-43.62,-19,2159,1723,7482
230.3516,-26.54,66.69,-14.49,-8,2208,808,6521
230.4137,2.89,70.59,25.43,11,2218,-205,6585
230.4857,22.32,50.70,44.49,20,2167,-1012,6322
230.5471,44.83,28.86,62.40,31,2111,-1472,8025
230.6185,48.81,-20.28,43.80,25,1985,-1389,6820
230.6803,47.99,-44.07,46.12,21,1924,-663,7490
230.7519,17.80,-64.74,-5.31,0,1871,99,6299
230.8137,-6.67,-56.16,-27.37,-14,1893,774,6403
230.8853,-28.53,-40.56,-52.95,-24,1933,613,6868
230.9469,-53.16,-1.95,-75.68,-35,2032,1505,6961
231.0185,-47.05,35.88,-56.35,-24,2129,1319,7053
231.0804,-33.00,63.57,-20.24,-15,2200,617,10356
231.1518,-12.60,70.59,6.89,-2,2218,352,11031
231.2137,20.47,67.86,49.48,10,2211,-296,10767
231.2855,40.58,40.17,61.11,30,2140,-1530,10084
231.3470,50.71,8.58,65.44,30,2059,-1736,10200
231.4185,46.13,-41.73,44.99,24,1930,-1154,10552
231.4803,25.70,-63.57,12.85,8,1874,-620,10719
231.5514,-1.08,-63.57,-23.48,8,1874,-620,9218
231.6136,-24.14,-54.60,-49.41,-18,1897,504,6584
231.6853,-46.59,-19.50,-75.12,-32,1987,410,9021
231.7470,-50.56,21.84,-59.36,-34,2093,1985,8997
231.8187,-37.89,54.99,-29.54,-18,2178,1036,8886
231.8804,-21.10,68.25,-6.74,-7,2212,660,9802
231.9520,15.03,67.08,44.10,17,2209,-680,8154
232.0136,26.84,39.78,45.71,23,2139,-470,9560
232.0851,56.82,19.89,85.74,29,2088,-359,9267
232.1470,39.40,-33.54,31.88,21,1951,-1504,6613
232.2189,36.35,-57.72,25.52,14,1889,-608,6567
232.2803,7.63,-65.52,-14.30,-6,1869,-22,6451
232.3518,-15.46,-54.21,-36.62,-19,1898,696,6392
232.4136,-40.89,-30.03,-47.85,-21,1960,759,6904
232.4860,-73.95,-4.68,-93.97,-39,2025,1267,6498
232.5470,-46.57,46.41,-38.82,-17,2156,1279,7261
232.6191,-31.17,67.86,-14.98,-10,2211,963,9006
232.6803,2.58,70.98,30.81,10,2219,-234,8151
232.7517,19.46,55.77,39.21,21,2180,-589,6549
232.8138,45.62,17.16,65.70,35,2081,-1560,9096
232.8854,52.19,-21.45,63.19,30,1982,-1721,6489
232.9470,33.98,-53.43,28.63,14,1900,-1146,6317
233.0191,24.14,-65.13,5.66,10,1870,-565,6394
233.0803,-12.32,-63.96,-38.39,-15,1873,98,6827
233.1566,-27.74,-29.25,-44.01,-20,1962,1007,7624
233.2137,-51.34,-5.85,-79.28,-33,2022,1478,11768
233.2855,-49.09,38.22,-50.26,-24,2135,1643,7063
