t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
1637.9266,1.34,-70.20,-0.05,1,1857,20,8719
1637.9884,2.37,-70.98,0.94,2,1855,-5,6694
1638.0599,2.46,-71.76,-0.91,2,1853,-86,6946
1638.1217,0.36,-70.59,0.61,0,1856,-11,8268
1638.1958,-0.24,-70.98,-1.91,1,1855,106,6275
1638.2551,-1.06,-69.42,-1.96,-1,1859,484,6331
1638.3266,1.25,-73.32,3.02,1,1849,-868,6778
1638.3883,0.53,-70.20,1.44,0,1857,-35,6138
1638.4599,-1.85,-69.81,-3.69,-1,1858,-97,8607
1638.5219,-0.25,-68.25,-0.36,0,1862,-85,8247
1638.5931,2.55,-67.08,4.36,-1,1865,5,6193
1638.6550,-2.99,-70.59,-7.47,-3,1856,-155,8284
1638.7267,0.73,-63.96,5.23,0,1873,409,6642
1638.7884,-2.21,-65.13,-3.08,0,1870,208,6532
1638.8596,-7.00,-65.52,-10.79,-8,1869,191,6466
1638.9218,2.20,-64.35,5.91,3,1872,-582,6668
1638.9950,-6.02,-62.79,-10.78,-4,1876,44,6368
1639.0551,-6.28,-61.23,-7.09,-4,1880,180,7687
1639.1277,-0.15,-55.77,4.33,0,1894,245,7960
1639.1884,-4.43,-56.55,-6.13,-2,1892,66,8441
1639.2599,-2.48,-53.04,-0.48,0,1901,334,8539
1639.3218,-4.48,-51.87,-6.09,-3,1904,85,6294
1639.3934,-4.64,-48.75,-4.46,-2,1912,307,6475
1639.4551,-6.26,-45.63,-6.66,-4,1920,105,6396
1639.5269,-3.91,-42.12,-2.39,-2,1929,340,5988
1639.5884,-0.41,-38.61,1.55,1,1938,38,6465
1639.6602,-6.40,-37.83,-9.80,-4,1940,12,6137
1639.7218,-4.96,-33.93,-4.70,-2,1950,-197,6219
1639.7930,-4.77,-28.86,-3.40,-3,1963,286,6349
1639.8551,-3.87,-26.13,-2.96,-3,1970,-73,6834
1639.9269,-3.18,-24.57,-2.72,-1,1974,-25,6388
1639.9883,-6.65,-23.01,-9.66,-4,1978,-136,6309
1640.0599,-4.53,-17.16,-2.89,-4,1993,201,6055
1640.1218,-3.98,-12.09,-5.70,1,2006,68,6353
1640.1933,-7.02,-12.48,-9.09,-5,2005,-103,6545
1640.2551,-4.52,-5.46,-3.81,-2,2023,477,6300
1640.3271,-4.66,-3.90,-5.21,-1,2027,41,6100
1640.3884,-3.90,1.17,-2.93,-1,2040,177,6394
1640.4603,-4.71,3.51,-6.02,-1,2046,243,6674
1640.5218,-8.09,7.41,-9.06,-5,2056,116,6533
1640.5932,-2.46,11.31,-1.06,1,2066,119,6430
1640.6552,-8.07,15.99,-8.65,-5,2078,315,9285
1640.7268,-4.35,18.72,-4.59,-1,2085,148,6405
1640.7885,-5.46,21.06,-3.79,-4,2091,57,6114
1640.8602,-4.36,24.57,-4.98,0,2100,-112,6307
1640.9218,-2.87,29.64,-2.46,0,2113,55,6529
1640.9932,-4.90,33.15,-6.58,-2,2122,337,6223
1641.0551,-6.82,32.76,-7.80,-5,2121,-3,6495
1641.1265,-1.88,39.00,1.49,0,2137,-107,6442
1641.1884,-9.09,39.39,-12.17,-6,2138,229,6500
1641.2602,-0.68,44.85,3.78,3,2152,247,6246
1641.3218,-7.40,45.24,-9.62,-4,2153,205,6541
1641.3935,-4.70,49.53,-1.94,-2,2164,82,6303
1641.4551,-2.81,49.92,-2.97,-1,2165,-101,6569
1641.5265,-3.87,55.77,-2.23,-3,2180,545,6530
1641.5884,-1.88,56.16,-3.89,1,2181,61,6507
1641.6600,-5.60,57.33,-7.36,-4,2184,117,6643
1641.7218,-3.50,59.28,-3.16,-2,2189,-91,6494
1641.7935,-1.68,60.45,0.94,0,2192,-277,6549
1641.8551,-6.35,63.96,-10.80,-5,2201,308,6476
1641.9263,3.75,65.52,6.35,4,2205,-334,6397
1641.9884,-5.55,61.23,-9.18,-3,2194,-855,8479
1642.0600,3.34,69.42,7.42,4,2215,133,6759
1642.1218,-4.63,66.30,-8.37,-3,2207,50,6559
1642.1935,1.36,69.81,4.31,0,2216,-149,6659
1642.2551,-1.56,69.03,-3.02,0,2214,-27,6864
1642.3263,-1.77,69.42,-1.54,-2,2215,73,6762
1642.3884,-2.14,70.98,-3.27,-1,2219,235,10867
1642.4598,1.52,75.27,2.44,1,2230,827,7037
1642.5218,-0.43,70.59,-1.14,0,2218,80,9179
1642.5941,0.53,62.40,0.49,0,2197,-2081,7043
1642.6551,0.29,69.03,-0.83,1,2214,-67,9194
1642.7263,-0.13,69.03,0.17,0,2214,-13,8883
1642.7884,1.67,68.25,2.22,2,2212,-106,7740
1642.8598,0.28,67.86,0.20,0,2211,166,7157
1642.9218,1.80,65.91,2.30,1,2206,-107,8932
1642.9936,-2.34,61.62,-4.23,-3,2195,-415,6770
1643.0551,4.91,64.35,7.99,4,2202,-181,7048
1643.1265,-0.32,62.01,-3.83,-2,2196,238,6892
1643.1884,3.23,60.84,5.00,0,2193,18,6658
1643.2601,3.98,58.89,3.88,3,2188,-168,6312
1643.3218,3.82,58.11,3.90,2,2186,32,6323
1643.3936,3.66,53.82,3.73,1,2175,-267,6444
1643.4551,1.57,50.70,0.53,0,2167,-50,6456
1643.5268,4.77,48.36,4.51,2,2161,-408,6500
1643.5884,2.27,47.19,2.76,1,2158,42,6688
1643.6599,4.04,44.85,7.16,2,2152,-105,6907
1643.7218,2.13,41.73,1.66,1,2144,-115,6710
1643.7935,1.92,39.00,1.07,1,2137,-413,6178
1643.8551,2.32,36.66,3.70,0,2131,-83,6418
1643.9271,3.55,33.93,2.60,2,2124,-189,6688
1643.9884,6.96,31.59,9.81,4,2118,-58,6756
1644.0598,2.53,26.91,-0.77,2,2106,-313,6534
1644.1217,8.79,26.91,11.62,4,2106,-50,9194
1644.1937,1.87,20.28,-1.28,0,2089,181,6262
1644.2551,7.90,18.72,10.90,5,2085,26,8905
1644.3271,2.30,12.87,-0.95,-1,2070,-77,6371
1644.3884,8.68,12.87,13.08,6,2070,-257,6234
1644.4600,2.09,2.73,-0.97,-1,2044,-263,6368
1644.5218,9.41,1.56,13.16,5,2041,-260,8413
1644.5936,2.54,-3.12,-2.57,0,2029,-182,6287
1644.6551,7.60,-1.95,12.42,5,2032,140,12402
1644.7274,5.04,-8.19,2.91,5,2016,-97,6760
1644.7885,7.65,-10.92,10.45,3,2009,-49,6761
1644.8592,3.52,-15.60,7.08,1,1997,-289,7007
1644.9218,1.60,-19.11,-2.21,1,1988,-260,7664
1644.9935,5.70,-21.45,7.74,3,1982,-197,6440
1645.0551,7.56,-24.57,7.56,5,1974,27,8466
1645.1271,0.14,-26.91,-2.10,2,1968,-55,6047
1645.1884,8.73,-30.03,12.98,5,1960,-340,6865
1645.2599,2.47,-33.15,0.65,0,1952,269,6996
1645.3219,6.63,-36.66,5.14,6,1943,-192,6334
1645.3936,5.50,-39.39,7.24,2,1936,-64,6210
1645.4554,1.72,-41.73,-4.08,5,1930,0,8104
1645.5271,5.42,-45.24,9.34,3,1921,-744,6292
1645.5884,6.69,-47.97,7.29,4,1914,-419,6669
1645.6606,2.94,-52.65,1.43,1,1902,-382,9006
1645.7219,1.94,-55.38,0.59,1,1895,-136,6717
1645.7939,4.01,-54.99,5.54,3,1896,-161,6439
1645.8561,0.87,-58.50,-1.08,0,1887,159,13243
1645.9281,5.85,-60.06,4.88,3,1883,-28,13930
1645.9884,2.36,-61.62,0.40,1,1879,225,8939
1646.0618,5.93,-63.57,9.68,4,1874,-33,13182
1646.1217,-3.60,-65.13,-6.47,-2,1870,250,9481
1646.1949,5.32,-64.35,12.81,6,1872,-49,14472
1646.2550,-1.07,-68.25,-7.38,1,1862,-293,13871
1646.3271,0.70,-66.69,5.22,-4,1866,18,8714
1646.3885,1.91,-67.47,0.26,5,1864,-288,10787
1646.4629,-0.54,-67.08,0.82,-2,1865,282,9427
1646.5217,2.90,-70.59,3.51,2,1856,-305,8326
1646.5929,2.03,-69.42,4.45,2,1859,-83,8201
1646.6551,0.16,-70.98,0.19,-1,1855,-91,9829
1646.7269,1.19,-68.25,0.26,2,1862,330,6951
1646.7884,-0.50,-70.98,-2.27,0,1855,270,9669
1646.8606,-0.90,-71.37,-1.09,-1,1854,56,9062
1646.9218,0.19,-69.42,0.41,0,1859,124,7488
1646.9925,-0.50,-69.42,-1.29,0,1859,-98,6848
1647.0551,-0.09,-69.81,0.01,0,1858,-119,6772
1647.1268,0.39,-67.47,2.10,-1,1864,134,6454
1647.1884,-0.63,-67.47,-2.76,-1,1864,-119,6483
1647.2600,-2.48,-66.30,-0.73,-1,1867,-84,6929
1647.3218,2.50,-65.13,5.20,1,1870,512,6458
1647.3931,-2.46,-65.52,-5.71,-2,1869,-164,6429
1647.4551,-4.06,-63.57,-3.35,-6,1874,284,7088
1647.5275,0.64,-63.18,-1.17,2,1875,-139,6353
1647.5883,-3.88,-62.01,-4.71,-3,1878,255,6298
1647.6600,-4.37,-60.84,-5.67,-2,1881,10,6782
1647.7218,-2.48,-58.89,-0.93,-1,1886,-60,6329
1647.7934,-2.36,-56.16,-0.15,-1,1893,-16,6320
1647.8553,-3.13,-54.21,-3.92,0,1898,55,6527
1647.9273,-2.83,-50.70,-4.44,-1,1907,84,6511
1647.9884,-4.83,-47.97,-6.14,-3,1914,285,9187
1648.0604,-5.94,-44.85,-5.72,-4,1922,248,6953
1648.1218,-1.83,-40.95,-0.36,0,1932,345,6460
1648.1933,-9.06,-40.95,-13.71,-8,1932,270,6613
1648.2552,0.26,-35.10,4.36,3,1947,214,6404
1648.3266,-6.58,-35.49,-10.10,-4,1946,84,6253
1648.3885,-7.19,-28.86,-6.76,-5,1963,518,8157
1648.4603,-1.56,-26.91,-4.56,0,1968,53,7763
1648.5218,-7.23,-25.35,-9.57,-5,1972,249,9357
1648.5932,-4.64,-21.45,-6.04,-2,1982,189,6882
1648.6552,-7.26,-16.38,-7.26,-4,1995,287,6919
1648.7259,-0.67,-12.87,2.64,0,2004,99,6618
1648.7884,-11.69,-12.48,-18.90,-5,2005,156,7704
1648.8607,-4.68,-6.24,-0.88,-2,2021,277,8225
1648.9216,-5.73,-2.73,-5.28,-2,2030,119,6911
1648.9934,-2.73,-0.39,-5.42,0,2036,-89,6840
1649.0551,-5.42,2.73,-5.34,-4,2044,265,6598
1649.1263,-6.51,5.85,-6.68,-4,2052,268,6931
1649.1884,-3.14,12.48,-2.11,-1,2069,149,6391
1649.2602,-2.47,13.26,-3.93,0,2071,-515,7215
1649.3218,-6.60,18.72,-7.48,-4,2085,794,7209
1649.3932,-4.89,22.62,-2.57,-2,2095,294,6343
1649.4552,-3.35,25.74,-2.58,-1,2103,435,6419
